Order_ID,pH_0_30,BD_0_30,WHC_0_30,TC_Soil_0_30,TN_Soil_0_30,TP_Soil_0_30,C_N_Soil_0_30,Simpson,Shannon_wiener,Pielou,Richness,AGB,Cover_Plant,High_Plant,Number,TC_Plant,TN_Plant,TP_Plant,C_N_Plant,BGB_0_30,TC_Root_0_30,TN_Root_0_30,TP_Root_0_30,Relative_Coverage_Sedges,Relative_Coverage_Grass,Relative_Coverage_Shrubs,Relative_Coverage_Toxic_Plants,Relative_Coverage_Desirable_forbs,Relative_Quantity_Sedges,Relative_Quantity_Grass,Relative_Quantity_Shrubs,Relative_Quantity_Toxic_Plants,Relative_Quantity_Desirable_forbs,Relative_AGB_Sedges,Relative_AGB_Grass,Relative_AGB_Shrubs,Relative_AGB_Toxic_Plants,Relative_AGB_Desirable_forbs,Pi_Sedges,Pi_Grass,Pi_Shrubs,Pi_Toxic_Plants,Pi_Desirable_forbs,Relative_High_Sedges,Relative_High_Grass,Relative_High_Shrubs,Relative_High_Toxic_Plants,Relative_High_Desirable_forbs,Precipitation,Temperature,Growing_season_precipitation
3_1,7.08,1.96,32.24,175.45,17.07,2.51,10.28,0.83,2.15,0.74,18,126.76,60,3.5,475,12.65,1.06,0.05,11.97,2845.01,1072.12,38.62,1.69,0.02,0.06,0,0.05,0.88,0.02,0.06,0,0.05,0.87,0.01,0.11,0,0.04,0.84,0.07,0.2,0,0.09,0.63,0.17,0.49,0,0.19,0.14,3917,-4.5,3701
3_2,7.79,2.25,45.82,216.53,17.82,3.23,12.15,0.87,2.32,0.82,17,159.4,91,3.5,1072,52.45,3.57,0.16,14.69,4716.84,1640.67,60.37,3.24,0.06,0.27,0,0.08,0.59,0.06,0.07,0,0.17,0.71,0.14,0.23,0,0.12,0.51,0.09,0.28,0,0.15,0.48,0.16,0.49,0,0.2,0.15,3917,-4.5,3701
3_3,6.69,1.82,39.64,274.87,26.4,3.11,10.41,0.78,1.91,0.7,15,68.13,31,2.5,650,7.72,0.55,0.03,13.91,857.92,313.73,16.02,0.69,0.01,0.24,0,0.06,0.69,0,0.35,0,0.05,0.6,0,0.25,0,0.03,0.71,0.02,0.33,0,0.19,0.47,0.03,0.39,0,0.45,0.12,3917,-4.5,3701
3_4,7.69,1.72,36.96,282.89,25.46,2.77,11.11,0.79,1.9,0.82,10,72.36,40,2,399,19.21,1.39,0.06,13.81,1033.84,274.57,12.46,0.51,0,0.08,0,0.17,0.75,0,0.01,0,0.2,0.8,0,0.14,0,0.21,0.65,0,0.09,0,0.29,0.63,0,0.17,0,0.5,0.33,3917,-4.5,3701
3_5,7.68,1.12,83.56,336.69,30.06,2.08,11.2,0.89,2.36,0.89,14,58.48,37,1.5,516,15.21,1.11,0.09,13.73,2977.6,1189.22,52.68,1.83,0.04,0,0,0.22,0.74,0.03,0,0,0.32,0.65,0.03,0,0,0.25,0.72,0.06,0,0,0.26,0.68,0.11,0,0,0.25,0.64,3917,-4.5,3701
4_1,7.47,2.16,19.56,88.93,11.01,3.16,8.08,0.9,2.49,0.92,15,25.06,8.4,1.7,357,23.33,1.46,0.09,16.02,86.66,27.99,1.44,0.06,0,0.1,0,0.16,0.74,0,0.02,0,0.23,0.75,0,0.02,0,0.18,0.8,0,0.15,0,0.17,0.68,0,0.32,0,0.12,0.56,4066,-4,3835
4_2,7.43,2.25,27.12,104.48,12.49,3.45,8.36,0.88,2.31,0.85,15,27.27,8.5,2.5,745,11.07,0.82,0.05,13.58,243.51,75.26,3.53,0.18,0,0.04,0,0.19,0.77,0,0.01,0,0.17,0.82,0,0.09,0,0.47,0.44,0,0.17,0,0.24,0.59,0,0.46,0,0.35,0.18,4084,-4,3853
4_3,7.56,1.84,23.97,103.38,11.4,2.69,9.07,0.84,2.18,0.79,16,58.02,42,1.5,480,48.04,3.89,0.17,12.36,610.95,217.56,9.09,0.49,0.13,0.44,0.05,0.25,0.13,0.01,0.02,0.01,0.35,0.62,0.03,0.05,0.04,0.32,0.56,0.06,0.17,0.03,0.29,0.44,0.05,0.07,0.02,0.28,0.58,4084,-4,3853
4_4,7.37,1.79,23.43,85.47,10.61,2.13,8.06,0.59,1.4,0.64,9,37.14,20,2,518,18.68,1.23,0.09,15.14,821.53,227.55,10.63,0.61,0,0,0,0.99,0.01,0,0,0,0.96,0.04,0,0,0,0.98,0.02,0,0,0,0.85,0.15,0,0,0,0.59,0.41,4084,-4,3853
4_5,7.51,2.15,25.09,125.71,14.69,3.16,8.56,0.9,2.59,0.88,19,41.62,71,2,492,9.3,0.72,0.06,12.99,388.23,117.38,5.06,0.33,0.04,0.1,0,0.54,0.32,0.04,0.02,0,0.82,0.12,0.16,0.07,0,0.53,0.24,0.04,0.09,0,0.57,0.3,0.05,0.15,0,0.35,0.45,4084,-4,3853
5_1,6.9,1.86,25.93,169.73,16.92,2.38,10.03,0.78,1.94,0.74,14,148.08,86,1.7,426,21.85,1.59,0.07,13.75,3455.96,1032.85,44.25,1.99,0.16,0.04,0,0.08,0.72,0.03,0.01,0,0.31,0.65,0.03,0.01,0,0.05,0.91,0.07,0.24,0,0.19,0.5,0.02,0.65,0,0.19,0.14,4303,-5.1,4014
5_2,6.29,1.49,34.89,232.14,22.31,2,10.4,0.89,2.36,0.92,13,12.88,5,1,126,31.33,2.29,0.1,13.67,3626.67,979.6,35.88,1.7,0.22,0,0.01,0.21,0.56,0.15,0,0.01,0.44,0.4,0.2,0,0.02,0.17,0.61,0.18,0,0.05,0.33,0.43,0.18,0,0.14,0.34,0.34,4303,-5.1,4014
5_3,6.37,1.48,57.88,288.31,25.89,2.36,11.14,0.85,2.15,0.82,14,55.99,47,2.2,327,7.43,0.61,0.03,12.15,3546.95,1450.67,57.02,2.11,0.41,0,0.02,0.01,0.57,0.16,0,0.01,0.07,0.76,0.17,0,0.04,0.03,0.76,0.34,0,0.02,0.07,0.57,0.45,0,0.03,0.13,0.38,4303,-5.1,4014
5_4,5.47,0.85,92.73,374.97,32.66,1.77,11.48,0.87,2.33,0.88,14,57.96,56,2.5,430,47.69,3.99,0.21,11.96,3936.91,1407.35,72.33,2.39,0.09,0.31,0,0.15,0.44,0.03,0.1,0,0.07,0.8,0.01,0.37,0,0.02,0.6,0.05,0.21,0,0.09,0.64,0.05,0.23,0,0.04,0.68,4367,-5.1,4036
5_5,5.63,1.33,70.59,288.64,23.3,1.66,12.39,0.77,1.95,0.78,12,152.97,63,2,518,60.42,3.99,0.17,15.16,9430.22,3166.23,160.92,6.14,0.01,0.01,0,0.16,0.82,0,0.01,0,0.22,0.77,0,0,0,0.13,0.86,0.03,0.06,0,0.29,0.62,0.09,0.14,0,0.5,0.27,4303,-5.1,4014
6_1,6.3,1.36,53.27,160.61,15.98,2.26,10.05,0.92,2.68,0.93,18,87.49,64,2.4,426,34.13,2.27,0.11,15.02,2545.17,900.16,38.61,1.66,0.08,0.07,0,0.16,0.69,0.02,0.01,0,0.44,0.53,0.04,0,0,0.19,0.78,0.07,0.07,0,0.33,0.53,0.11,0.12,0,0.39,0.37,4084,-3.6,3833
6_2,6.3,1.68,39.56,241.82,23.67,2.78,10.22,0.89,2.33,0.94,12,115.86,43,2,318,36.04,3.36,0.21,10.74,1065.04,374.7,17.61,0.75,0.09,0,0,0.38,0.53,0.03,0,0,0.34,0.63,0.03,0,0,0.16,0.81,0.07,0,0,0.38,0.55,0.08,0,0,0.42,0.5,4084,-3.6,3833
6_3,6.22,1.61,33.88,222.51,21.1,2.86,10.55,0.79,1.88,0.78,11,243.75,52,3.5,859,30.18,1.99,0.08,15.13,1085.84,454.85,18.57,0.75,0.03,0.01,0.02,0.35,0.59,0.02,0,0,0.32,0.65,0,0.01,0.02,0.33,0.64,0.04,0.04,0.06,0.32,0.54,0.08,0.1,0.16,0.29,0.37,4084,-3.6,3833
6_4,6.29,1.56,46.64,294.33,28.02,2.8,10.5,0.9,2.63,0.89,19,231.45,83,3,683,48.89,3.64,0.2,13.44,2121.41,683.92,23.79,1.25,0.06,0.07,0,0.18,0.7,0.05,0.01,0,0.2,0.74,0.12,0,0,0.05,0.83,0.05,0.06,0,0.27,0.62,0.05,0.1,0,0.43,0.42,4084,-3.6,3833
6_5,6.16,1.58,35.48,153.89,15.29,2.39,10.06,0.85,2.21,0.86,13,176.85,91,2,417,30.07,2.2,0.12,13.66,2453.31,887.06,24.39,1.03,0.04,0,0.02,0.04,0.9,0.02,0,0,0.13,0.85,0.01,0,0.05,0.03,0.92,0.05,0,0.06,0.15,0.74,0.08,0,0.16,0.28,0.47,4084,-3.6,3833
7_1,6.82,1.6,35.28,179.48,16.29,1.99,11.02,0.94,3.01,0.91,27,200.38,98,3.5,1640,18.16,1.06,0.07,17.21,5141.47,1425.56,47.55,2.3,0.07,0.04,0.05,0.55,0.29,0.02,0.02,0.01,0.49,0.47,0.08,0.03,0.14,0.53,0.22,0.05,0.06,0.08,0.49,0.33,0.06,0.11,0.17,0.42,0.24,4113,-3.5,3875
7_2,6.82,2.11,16.52,130.85,12.95,2.15,10.11,0.81,1.92,0.83,10,59.41,60,2.5,882,31.07,1.9,0.1,16.33,2992.33,882.45,34.24,1.82,0.28,0.44,0,0,0.28,0.05,0.01,0,0,0.94,0.22,0.08,0,0.01,0.69,0.13,0.3,0,0.04,0.54,0.05,0.43,0,0.12,0.39,4113,-3.5,3875
7_3,7.25,1.31,21.86,182.91,17.96,1.74,10.18,0.89,2.43,0.9,15,75.13,73,3,942,33.07,2.04,0.1,16.21,5285.32,1655.4,34.9,1.52,0.48,0.23,0.03,0.11,0.14,0.02,0.08,0,0.37,0.52,0.05,0.28,0.14,0.19,0.34,0.18,0.21,0.04,0.27,0.31,0.04,0.31,0.08,0.32,0.25,4135,-3.6,3897
7_4,6.89,2.02,20.95,158.06,13.67,1.57,11.56,0.89,2.42,0.87,16,66.73,55,3.5,828,54.93,3.29,0.17,16.7,5036.61,1259.67,33.83,1.54,0.05,0,0.03,0.55,0.37,0.02,0.01,0.01,0.37,0.6,0.04,0.02,0.01,0.64,0.29,0.06,0.03,0.02,0.5,0.38,0.11,0.09,0.04,0.58,0.18,4135,-3.6,3897
7_5,7.1,1.7,19.62,236.2,23.4,2.75,10.09,0.81,2.03,0.79,13,227.45,80,4.5,357,63.29,5.19,0.33,12.2,2651.76,907.51,42.57,2.21,0,0,0.01,0.96,0.03,0.01,0.01,0.01,0.82,0.15,0,0,0.04,0.87,0.09,0.02,0.02,0.03,0.8,0.13,0.03,0.06,0.06,0.62,0.22,4113,-3.5,3875
10_1,7.75,1.72,15.46,144.63,15.7,3.47,9.21,0.82,2.19,0.83,14,192.25,44,20,596,120.08,6.54,0.26,18.36,2063.35,597.78,33.72,1.25,0.01,0.02,0,0.13,0.84,0.02,0.11,0,0.08,0.84,0.02,0.22,0,0.12,0.65,0.03,0.19,0,0.12,0.67,0.05,0.45,0,0.16,0.34,3547,-0.1,3382
10_2,7.99,1.98,21.64,168.94,18.02,3.56,9.37,0.92,2.62,0.95,16,113.29,50,13,198,19.16,0.97,0.04,19.83,2823.35,969.33,41.44,1.29,0,0.16,0,0.56,0.28,0,0.21,0,0.46,0.33,0,0.18,0,0.61,0.21,0,0.15,0,0.54,0.3,0,0.09,0,0.61,0.3,3547,-0.1,3382
10_3,8.29,1.44,52.02,178.04,14.19,2.08,12.55,0.83,2.1,0.84,12,118.48,40,10,450,13.63,0.66,0.04,20.75,1699.38,518.8,18.34,0.73,0,0.12,0,0.7,0.18,0,0.02,0,0.65,0.33,0,0.02,0,0.66,0.32,0,0.11,0,0.6,0.29,0,0.2,0,0.44,0.36,3547,-0.1,3382
10_4,7.85,1.36,64.92,116.76,12.15,2.5,9.61,0.89,2.43,0.88,16,119.11,50,10,149,12.48,4.83,0.11,2.58,1988.82,615.53,26.04,1.04,0,0.16,0,0.46,0.38,0,0.21,0,0.54,0.24,0,0.15,0,0.56,0.28,0,0.21,0,0.49,0.3,0,0.27,0,0.46,0.27,3547,-0.1,3382
10_5,8.01,1.81,41.35,152.94,12.86,3.17,11.89,0.81,2.07,0.81,13,55.24,35,10,229,32.2,1.5,0.08,21.49,1201.96,262.04,102.3,0.47,0,0.34,0,0.32,0.35,0,0.59,0,0.09,0.31,0,0.29,0,0.47,0.24,0,0.37,0,0.28,0.35,0,0.17,0,0.43,0.4,3547,-0.1,3382
11_1,8.2,2.08,30.44,194.97,16.64,2.78,11.72,0.91,2.63,0.88,20,83.27,84,4,447,106.89,6.78,0.24,15.77,1143.03,292.11,11.86,0.71,0,0.31,0,0.32,0.37,0,0.06,0,0.49,0.45,0,0.36,0,0.42,0.22,0,0.25,0,0.41,0.34,0,0.38,0,0.41,0.22,3387,-3.5,3230
11_2,8.25,2.09,34.86,214.65,16.73,3.08,12.83,0.9,2.59,0.85,21,127.32,97.3,10,746,62.59,3.54,0.14,17.68,1722.78,533.46,19.05,1.05,0.02,0.16,0,0.31,0.5,0.01,0.37,0,0.19,0.42,0.08,0.11,0,0.42,0.4,0.02,0.27,0,0.3,0.41,0.03,0.29,0,0.38,0.3,3387,-3.5,3230
11_3,8.05,1.9,30.51,186.36,20.01,2.49,9.32,0.86,2.39,0.84,17,184.43,99,8,487,70.31,3.83,0.18,18.35,1325.88,376.87,15.93,0.74,0,0.12,0,0.72,0.16,0.03,0.04,0,0.51,0.42,0.02,0.06,0,0.86,0.06,0.03,0.16,0,0.56,0.25,0.06,0.31,0,0.45,0.18,3387,-3.5,3230
11_4,8.25,2.17,31.65,186.42,17.75,2.59,10.5,0.86,2.2,0.83,14,114.74,76,7,370,40.66,2.25,0.13,18.05,1164.7,190.39,6.53,0.36,0,0.32,0,0.28,0.39,0,0.16,0,0.37,0.46,0,0.35,0,0.36,0.29,0.01,0.23,0,0.33,0.42,0.04,0.21,0,0.35,0.41,3387,-3.5,3230
11_5,8.4,1.96,34.18,188.53,18.26,2.64,10.33,0.86,2.38,0.84,17,79.04,69,10,544,38.75,2.09,0.1,18.58,655.14,221.19,9.69,0.4,0,0.29,0,0.22,0.49,0,0.1,0,0.25,0.65,0,0.4,0,0.23,0.37,0,0.29,0,0.22,0.49,0,0.46,0,0.21,0.33,3387,-3.5,3230
12_1,8.59,2.06,30.87,211.59,16.06,2.32,13.18,0.72,1.64,0.75,9,141.28,48,12,458,40.18,2.45,0.1,16.42,1176.83,378.46,14.68,0.5,0,0.27,0,0.72,0.02,0,0.07,0,0.91,0.02,0,0.16,0,0.83,0.01,0,0.23,0,0.74,0.02,0,0.36,0,0.61,0.03,3319,-2.8,3170
12_2,8.4,2.09,31.52,251.19,16.96,2.84,14.81,0.84,2.08,0.87,11,143.58,86,9,459,8.47,0.46,0.02,18.32,1266.95,281.99,9.24,0.51,0.2,0.25,0,0.54,0.01,0.09,0.08,0,0.83,0,0.28,0.28,0,0.44,0,0.12,0.23,0,0.63,0.02,0.06,0.37,0,0.53,0.04,3319,-2.8,3170
12_3,8.42,1.87,38.2,246.31,12.79,2.49,19.26,0.75,1.7,0.69,12,89.22,27,9,782,36.36,1.8,0.09,20.19,2247.93,643.14,20.65,0.74,0,0.6,0,0.39,0.01,0,0.05,0,0.94,0.01,0,0.25,0,0.69,0.06,0,0.35,0,0.59,0.06,0,0.4,0,0.45,0.15,3319,-2.8,3170
12_4,8.06,1.92,36.85,245.05,17.96,2.47,13.65,0.78,1.95,0.76,13,177.96,40,6,859,17.89,0.86,0.03,20.81,3380.56,934.87,37,1.24,0,0.24,0,0.67,0.08,0,0.07,0,0.89,0.04,0,0.18,0,0.8,0.02,0,0.24,0,0.62,0.14,0,0.41,0,0.3,0.29,3319,-2.8,3170
12_5,8.01,2.06,33.78,347.35,18.7,2.88,18.57,0.89,2.47,0.86,18,189.06,90,7,490,28.13,1.55,0.07,18.13,2994.93,809.88,49.27,1.47,0.19,0.01,0,0.66,0.14,0.07,0.03,0,0.75,0.14,0.36,0.02,0,0.57,0.06,0.11,0.03,0,0.66,0.2,0.07,0.04,0,0.58,0.31,3319,-2.8,3170
13_1,7.94,1.78,38.65,192.41,18.61,1.94,10.34,0.88,2.29,0.92,12,135.72,80,7,322,112.44,6.22,0.23,18.09,6298.37,1467.3,530.19,1.63,0.34,0.15,0.01,0.3,0.19,0.2,0.04,0.04,0.34,0.37,0.48,0.02,0.01,0.4,0.1,0.22,0.21,0.03,0.31,0.23,0.11,0.44,0.04,0.28,0.14,3283,-3.7,3135
13_2,8.12,1.52,42.64,174.2,14.57,2.05,11.96,0.9,2.56,0.88,18,327.35,89,10,949,111.7,5.78,0.27,19.31,5911.87,1998.96,55.79,1.7,0.46,0.12,0.02,0.25,0.15,0.05,0.02,0.02,0.34,0.57,0.5,0.03,0.01,0.36,0.1,0.2,0.13,0.02,0.31,0.34,0.1,0.24,0.03,0.34,0.29,3283,-3.7,3135
13_3,7.89,1.86,37.55,204.49,19.53,2.14,10.47,0.9,2.55,0.88,18,362.56,98,10,883,39.86,2.16,0.08,18.44,5242.86,1750.58,40.46,1.36,0.48,0.11,0.01,0.31,0.11,0.07,0.02,0.01,0.29,0.61,0.56,0.01,0,0.32,0.11,0.2,0.16,0.01,0.3,0.33,0.05,0.35,0.02,0.3,0.28,3283,-3.7,3135
13_4,7.69,1.83,42.94,198.75,17.42,2.07,11.41,0.87,2.22,0.92,11,195.47,88,15,414,76.22,3.94,0.19,19.35,4935.22,1707.18,45.4,1.62,0,0.15,0.02,0.6,0.23,0,0.06,0.03,0.45,0.46,0,0.41,0,0.38,0.2,0,0.21,0.02,0.44,0.33,0,0.4,0.02,0.26,0.31,3283,-3.7,3135
13_5,7.76,1.81,39.3,198.62,16.87,1.94,11.77,0.89,2.38,0.9,14,178.84,76,6.5,902,135.43,7.09,0,19.1,6517.61,2255.52,75.17,2.4,0.48,0.05,0,0.13,0.34,0.03,0.01,0,0.21,0.75,0.52,0.04,0,0.2,0.24,0.19,0.08,0.01,0.15,0.57,0.06,0.19,0.02,0.11,0.62,3283,-3.7,3135
14_1,8.23,1.21,40.04,185.96,13.61,1.75,13.67,0.86,2.17,0.85,13,166.8,93,7.5,725,25.58,1.76,0.08,14.55,6702.2,1983.15,55.25,1.94,0.44,0.23,0.02,0.17,0.14,0.07,0.08,0.05,0.32,0.49,0.43,0.14,0.02,0.23,0.18,0.18,0.26,0.04,0.23,0.29,0.04,0.46,0.05,0.2,0.25,3153,-4.2,3011
14_2,8.37,2.15,31.68,276.59,15.45,2.51,17.91,0.88,2.29,0.89,13,100.93,90,10,449,44.25,2.57,0.13,17.24,5384.12,1769.99,43.11,1.87,0.53,0.14,0,0.21,0.13,0.08,0.22,0,0.17,0.53,0.21,0.28,0,0.33,0.17,0.21,0.26,0,0.26,0.27,0.04,0.41,0,0.4,0.15,3153,-4.2,3011
14_3,8.26,1.47,39.33,147.54,11.01,1.66,13.4,0.85,2.11,0.88,11,195.3,72,7.5,720,48.87,2.73,0.14,17.93,5317.39,1902.31,42.31,1.36,0.58,0.04,0,0.25,0.13,0.12,0.05,0,0.26,0.57,0.44,0.04,0,0.44,0.09,0.29,0.13,0,0.27,0.31,0.17,0.29,0,0.3,0.24,3153,-4.2,3011
14_4,8.18,1.51,37.31,191.22,11.94,1.99,16.01,0.9,2.48,0.91,15,140.01,76,6,852,52.25,3.12,0.11,16.74,2883.14,1072.56,25.06,0.94,0.48,0.04,0,0.29,0.2,0.09,0.04,0,0.15,0.73,0.43,0.07,0,0.27,0.23,0.25,0.14,0,0.22,0.39,0.2,0.35,0,0.22,0.23,3153,-4.2,3011
14_5,8.38,1.48,38.43,167.19,12.78,1.69,13.08,0.89,2.4,0.91,14,100.77,87,5.5,410,47.24,2.87,0.12,16.48,8327.05,2487.64,50.9,2.07,0.34,0.12,0.03,0.24,0.26,0.1,0.08,0.03,0.21,0.58,0.41,0.13,0.02,0.23,0.21,0.16,0.21,0.03,0.26,0.33,0.04,0.43,0.04,0.33,0.16,3153,-4.2,3011
15_1,7.6,1.7,32.19,275.01,26.53,2.78,10.37,0.9,2.63,0.85,22,124.06,92,7.5,615,75.55,4.89,0.2,15.46,1710.65,681.65,30.9,1.17,0.66,0.05,0,0.14,0.15,0.1,0.04,0,0.18,0.68,0.42,0.04,0,0.36,0.17,0.27,0.19,0,0.22,0.33,0.04,0.48,0,0.32,0.15,3873,-0.3,3626
15_2,7.76,1.47,32.5,219.25,20.78,2.34,10.55,0.38,5.45,0.91,24,195.82,95,5,469,35.82,2.23,0.1,16.03,4533.99,1604.9,50.94,2.39,0.16,0.18,0,0.37,0.29,0.1,0.09,0,0.32,0.48,0.2,0.17,0,0.39,0.23,0.11,0.17,0,0.33,0.39,0.05,0.24,0,0.3,0.41,3873,-0.3,3626
15_3,7.7,1.49,37.02,227.84,22.94,2.27,9.93,0.92,2.73,0.87,23,163.98,97,5,765,146.19,8.25,0.36,17.72,4761.9,1491.64,54.44,2.07,0.31,0.03,0,0.42,0.23,0.1,0.04,0,0.45,0.41,0.32,0.03,0,0.55,0.1,0.16,0.1,0,0.39,0.35,0.06,0.23,0,0.29,0.42,3850,-0.6,3637
15_4,7.81,1.53,40.97,255.88,23.98,2.27,10.67,0.9,2.51,0.91,16,108.59,70,2.5,615,57.24,3.65,0.17,15.69,4182.16,1548.09,53.05,1.7,0.66,0,0,0.16,0.18,0.05,0,0,0.38,0.56,0.22,0,0,0.62,0.16,0.26,0.11,0,0.28,0.35,0.07,0.32,0,0.3,0.31,3873,-0.3,3626
15_5,7.53,1.65,33.83,265.93,25.58,2.8,10.4,0.91,2.67,0.88,21,152.33,96,7,612,58.23,3.5,0.15,16.63,4231.55,1456.07,65.17,2.83,0.64,0.1,0,0.13,0.13,0.18,0.03,0,0.18,0.61,0.49,0.01,0,0.29,0.22,0.29,0.21,0,0.19,0.31,0.04,0.51,0,0.25,0.2,3889,-1.1,3675
16_1,6.64,1.04,65.7,110.54,10.56,1.61,10.46,0.85,2.42,0.92,15,63.46,65,3,581,21.71,0.97,0.05,22.3,2080.68,701.87,28.22,1.32,0.71,0.04,0,0.08,0.17,0.46,0,0,0.1,0.44,0.39,0.12,0,0.08,0.42,0.53,0.06,0,0.17,0.32,0.25,0.08,0,0.32,0.35,4197,-5.4,3899
16_2,6.58,1.71,61.63,133.03,12.99,2.13,10.24,0.91,2.57,0.91,17,88.64,45,2.5,807,44.54,2.09,0.11,21.32,1457.6,442.96,19.12,1.17,0.16,0.03,0,0.22,0.59,0.01,0.17,0,0.3,0.52,0.07,0.42,0,0.09,0.41,0.08,0.18,0,0.2,0.51,0.08,0.33,0,0.07,0.42,4197,-5.4,3899
16_3,6.69,1.92,60.66,275.17,23.95,2.5,11.49,0.91,2.69,0.87,22,40.72,53,2,705,43.96,2.07,0.1,21.21,7103.43,1847.17,92.7,4.33,0.29,0.25,0,0.05,0.41,0.05,0.28,0,0.02,0.66,0.21,0.66,0,0.02,0.12,0.21,0.22,0,0.08,0.49,0.3,0.12,0,0.17,0.41,4214,-5.5,3911
